customer_id,company_name,region,segment,product,contract_start,last_login_date,monthly_revenue,total_revenue,num_users,support_tickets_last_90d,nps_score
C001,Acme Corp,North,Enterprise,Analytics,2022-01-15,2024-03-20,4500.0,117000.0,45,2,8
C002,Globex Inc,South,SMB,Security,2023-03-10,2023-11-05,1200.0,14400.0,12,9,3
C003,Initech,East,Startup,DevTools,2023-07-01,2024-03-18,750.0,6750.0,8,1,7
C004,Umbrella Ltd,West,Enterprise,Cloud,2021-06-20,2024-03-22,12000.0,324000.0,120,3,9
C005,Stark Industries,North,Enterprise,Security,2022-04-10,2024-03-15,9500.0,209000.0,95,1,10
C006,Wayne Enterprises,Europe,Enterprise,Analytics,2021-09-01,2023-09-14,8500.0,238000.0,80,11,2
C007,Dunder Mifflin,East,SMB,DevTools,2023-01-20,2024-03-19,950.0,9500.0,10,0,8
C008,Pied Piper,West,Startup,Cloud,2024-01-05,2024-03-21,600.0,1800.0,6,2,9
C009,Hooli Corp,South,Enterprise,Analytics,2022-11-01,2023-08-30,15000.0,225000.0,150,14,2
C010,Vandelay Industries,North,SMB,Security,2023-05-15,2024-02-10,1800.0,19800.0,18,5,5
C011,Bluth Company,East,SMB,Cloud,2022-08-10,2024-03-17,2100.0,44100.0,21,1,7
C012,Oceanic Airlines,Europe,Enterprise,Analytics,2021-03-05,2023-07-22,11000.0,363000.0,110,13,1
C013,Soylent Corp,West,Startup,DevTools,2024-02-01,2024-03-20,500.0,1000.0,5,0,8
C014,Nakatomi Corp,North,Enterprise,Security,2022-06-15,2024-03-10,7200.0,172800.0,72,2,8
C015,Planet Express,South,SMB,Cloud,2023-09-01,2024-01-15,1400.0,8400.0,14,7,4
C016,Wernham Hogg,Europe,SMB,Analytics,2022-12-01,2024-03-16,1650.0,29700.0,16,1,6
C017,Prestige Worldwide,West,Startup,DevTools,2023-11-10,2024-03-22,700.0,3500.0,7,0,9
C018,Tyrell Corp,East,Enterprise,Security,2021-07-20,2023-06-10,13500.0,378000.0,135,15,1
C019,Mooby Corp,North,SMB,Analytics,2023-02-28,2024-03-18,1100.0,13200.0,11,3,6
C020,Buy N Large,South,Enterprise,Cloud,2022-03-01,2024-03-21,10500.0,252000.0,105,2,9
C021,Cyberdyne Systems,West,Enterprise,Security,2021-11-15,2023-10-05,9000.0,243000.0,90,10,3
C022,Rekall Inc,North,SMB,DevTools,2023-06-01,2024-03-17,890.0,8900.0,9,1,7
C023,Massive Dynamic,Europe,Enterprise,Analytics,2022-05-10,2024-03-14,7800.0,187200.0,78,2,8
C024,Weyland Corp,East,Enterprise,Cloud,2021-08-25,2023-05-18,14000.0,406000.0,140,16,1
C025,Soylent Green,South,Startup,DevTools,2024-01-20,2024-03-19,550.0,1100.0,5,0,8
C026,Initech Plus,West,SMB,Analytics,2023-04-15,2024-02-28,1350.0,13500.0,13,4,5
C027,Momcorp,North,Enterprise,Security,2022-09-01,2024-03-20,8800.0,185800.0,88,1,9
C028,Virtucon,Europe,SMB,Cloud,2023-01-10,2023-12-20,1550.0,18600.0,15,8,3
C029,Sterling Archer,East,Startup,DevTools,2024-02-15,2024-03-21,620.0,620.0,6,0,9
C030,Global Dynamics,South,Enterprise,Analytics,2022-02-20,2024-03-15,11500.0,299000.0,115,2,8
C031,Abstergo Industries,West,Enterprise,Security,2021-10-05,2023-04-12,12500.0,375000.0,125,17,1
C032,Krusty Burger,North,SMB,Cloud,2023-08-01,2024-03-16,950.0,8550.0,9,2,6
C033,Duff Industries,Europe,Enterprise,DevTools,2022-07-15,2024-03-13,6500.0,143000.0,65,1,7
C034,Springfield Nuclear,East,Enterprise,Analytics,2021-12-01,2023-03-08,10000.0,270000.0,100,14,2
C035,Kwik-E-Mart,South,SMB,DevTools,2023-10-01,2024-03-20,780.0,5460.0,8,1,7
C036,Shelbyville Inc,West,Startup,Cloud,2024-01-15,2024-03-22,580.0,1160.0,6,0,9
C037,Olde Fortran,North,SMB,Security,2022-11-20,2024-01-30,1250.0,16250.0,12,6,4
C038,Innotech,Europe,Enterprise,Analytics,2022-04-01,2024-03-11,8200.0,180400.0,82,2,8
C039,Soylent Red,East,Startup,DevTools,2024-02-20,2024-03-18,510.0,510.0,5,1,8
C040,Frobozz Magic,South,SMB,Cloud,2023-07-10,2024-03-17,1100.0,8800.0,11,3,6
